in s,C1 in V
-9.52561108E+01,3.814697E-07
-9.52469555E+01,-1.152039E-05
-9.52378002E+01,-3.738403E-06
-9.52286449E+01,-1.602173E-06
-9.52194896E+01,1.075745E-05
-9.52103344E+01,3.814697E-07
-9.52011791E+01,2.670288E-06
-9.51920238E+01,-1.296997E-06
-9.51828685E+01,-2.975464E-06
-9.51737132E+01,-4.196167E-06
-9.51645580E+01,-1.907349E-06
-9.51554027E+01,-3.814697E-07
-9.51462474E+01,-6.027222E-06
-9.51370921E+01,1.449585E-06
-9.51279368E+01,-1.449585E-06
-9.51187816E+01,6.866455E-07
-9.51096263E+01,-5.111694E-06
-9.51004710E+01,-2.517700E-06
-9.50913157E+01,-3.738403E-06
-9.50821604E+01,2.212524E-06
-9.50730052E+01,-1.029968E-05
-9.50638499E+01,-4.196167E-06
-9.50546946E+01,1.502991E-05
-9.50455393E+01,-6.332397E-06
-9.50363840E+01,3.814697E-07
-9.50272288E+01,2.822876E-06
-9.50180735E+01,-1.754761E-06
-9.50089182E+01,-1.091003E-05
-9.49997629E+01,-2.059937E-06
-9.49906076E+01,7.247925E-06
-9.49814524E+01,8.010864E-06
-9.49722971E+01,-9.536743E-06
-9.49631418E+01,-3.814697E-07
-9.49539865E+01,-6.027222E-06
-9.49448312E+01,-8.621216E-06
-9.49356760E+01,-3.585815E-06
-9.49265207E+01,-1.625061E-05
-9.49173654E+01,-1.602173E-06
-9.49082101E+01,-1.304626E-05
-9.48990548E+01,-4.196167E-06
-9.48898996E+01,-1.045227E-05
-9.48807443E+01,1.602173E-06
-9.48715890E+01,-3.280640E-06
-9.48624337E+01,-2.365112E-06
-9.48532784E+01,-7.247925E-06
-9.48441232E+01,-8.926392E-06
-9.48349679E+01,-6.790161E-06
-9.48258126E+01,-1.014709E-05
-9.48166573E+01,3.585815E-06
-9.48075020E+01,-4.653931E-06
-9.47983468E+01,-2.517700E-06
-9.47891915E+01,-6.942749E-06
-9.47800362E+01,-2.288818E-07
-9.47708809E+01,-9.384155E-06
-9.47617256E+01,-3.433228E-06
-9.47525704E+01,-1.449585E-06
-9.47434151E+01,-1.296997E-06
-9.47342598E+01,-7.095337E-06
-9.47251045E+01,-6.637573E-06
-9.47159492E+01,-4.806519E-06
-9.47067940E+01,-8.773804E-06
-9.46976387E+01,-2.670288E-06
-9.46884834E+01,-4.959106E-06
-9.46793281E+01,-4.653931E-06
-9.46701728E+01,-4.806519E-06
-9.46610176E+01,-5.874634E-06
-9.46518623E+01,-9.994507E-06
-9.46427070E+01,-5.569458E-06
-9.46335517E+01,-9.078979E-06
-9.46243964E+01,-9.231567E-06
-9.46152412E+01,6.866455E-07
-9.46060859E+01,-9.689331E-06
-9.45969306E+01,-2.822876E-06
-9.45877753E+01,-1.213074E-05
-9.45786200E+01,-7.095337E-06
-9.45694648E+01,-1.457214E-05
-9.45603095E+01,5.683899E-05
-9.45511542E+01,7.392883E-05
-9.45419989E+01,6.721497E-05
-9.45328436E+01,5.058289E-05
-9.45236884E+01,4.508972E-05
-9.45145331E+01,3.959656E-05
-9.45053778E+01,3.623962E-05
-9.44962225E+01,3.761292E-05
-9.44870672E+01,3.364563E-05
-9.44779120E+01,3.517151E-05
-9.44687567E+01,3.059387E-05
-9.44596014E+01,8.316040E-06
-9.44504461E+01,-6.332397E-06
-9.44412908E+01,-1.289368E-05
-9.44321356E+01,-2.311707E-05
-9.44229803E+01,-6.690979E-05
-9.44138250E+01,-6.431580E-05
-9.44046697E+01,-5.729675E-05
-9.43955144E+01,-4.417419E-05
-9.43863592E+01,-4.417419E-05
-9.43772039E+01,-4.310608E-05
-9.43680486E+01,-5.134583E-05
-9.43588933E+01,-4.570007E-05
-9.43497380E+01,-4.676819E-05
-9.43405828E+01,-4.920959E-05
-9.43314275E+01,-5.363464E-05
-9.43222722E+01,-5.638123E-05
-9.43131169E+01,-5.577087E-05
