in s,C1 in V
-9.60983965E+01,4.544601E+00
-9.60892412E+01,4.544144E+00
-9.60800860E+01,4.545822E+00
-9.60709307E+01,4.544449E+00
-9.60617754E+01,4.544754E+00
-9.60526201E+01,4.545975E+00
-9.60434648E+01,4.547501E+00
-9.60343096E+01,4.545212E+00
-9.60251543E+01,4.546127E+00
-9.60159990E+01,4.546890E+00
-9.60068437E+01,4.545212E+00
-9.59976884E+01,4.543076E+00
-9.59885332E+01,4.543076E+00
-9.59793779E+01,4.545059E+00
-9.59702226E+01,4.543686E+00
-9.59610673E+01,4.542770E+00
-9.59519120E+01,4.544144E+00
-9.59427568E+01,4.544449E+00
-9.59336015E+01,4.544601E+00
-9.59244462E+01,4.544296E+00
-9.59152909E+01,4.545517E+00
-9.59061356E+01,4.542618E+00
-9.58969804E+01,4.544296E+00
-9.58878251E+01,4.545212E+00
-9.58786698E+01,4.545670E+00
-9.58695145E+01,4.544449E+00
-9.58603592E+01,4.543686E+00
-9.58512040E+01,4.545670E+00
-9.58420487E+01,4.545364E+00
-9.58328934E+01,4.545822E+00
-9.58237381E+01,4.545517E+00
-9.58145828E+01,4.546890E+00
-9.58054276E+01,4.544754E+00
-9.57962723E+01,4.544754E+00
-9.57871170E+01,4.545212E+00
-9.57779617E+01,4.544449E+00
-9.57688064E+01,4.545212E+00
-9.57596512E+01,4.544907E+00
-9.57504959E+01,4.545364E+00
-9.57413406E+01,4.543839E+00
-9.57321853E+01,4.544754E+00
-9.57230300E+01,4.545212E+00
-9.57138748E+01,4.545975E+00
-9.57047195E+01,4.545670E+00
-9.56955642E+01,4.545822E+00
-9.56864089E+01,4.546432E+00
-9.56772536E+01,4.545212E+00
-9.56680984E+01,4.546127E+00
-9.56589431E+01,4.545975E+00
-9.56497878E+01,4.546280E+00
-9.56406325E+01,4.544601E+00
-9.56314772E+01,4.545975E+00
-9.56223220E+01,4.546585E+00
-9.56131667E+01,4.545822E+00
-9.56040114E+01,4.543991E+00
-9.55948561E+01,4.544754E+00
-9.55857008E+01,4.545822E+00
-9.55765456E+01,4.544449E+00
-9.55673903E+01,4.544449E+00
-9.55582350E+01,4.545059E+00
-9.55490797E+01,4.544296E+00
-9.55399244E+01,4.543991E+00
-9.55307692E+01,4.546127E+00
-9.55216139E+01,4.546890E+00
-9.55124586E+01,4.545670E+00
-9.55033033E+01,4.544601E+00
-9.54941480E+01,4.545517E+00
-9.54849928E+01,4.545975E+00
-9.54758375E+01,4.545364E+00
-9.54666822E+01,4.544449E+00
-9.54575269E+01,4.546432E+00
-9.54483716E+01,4.545059E+00
